name,has_main_facilities,has_security_features,has_parking_safety,has_building_facilities,has_other_features,HighFloor,MidFloor,has_modern,has_facilities,has_green_view,has_water_feature,Bedroom_1,Bedroom_2,Bedroom_3,Bedroom_above 3,Bathroom_1,Bathroom_2,Bathroom_above 2,city_Mansoura,city_New Administrative Capital,city_New Cairo,city_North Coast,city_Old Cairo,propertyCategory_Commercial,propertySubType_Attached Houses,propertySubType_Office,propertySubType_Others(very rare),propertySubType_Retail,log(sqm),log(price),log(price/sqm),Is log(price/sqm) outlier,Is log(sqm) outlier,Is log(price) outlier
Alamain (Latin District),1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4.8201202622737735,14.78287456002243,9.962754297560895,False,False,False
Mazarine Apartment,0,1,0,1,1,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,5.533073233190413,17.078288429119603,11.545215195993965,False,False,False
BEGONIA,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,5.017279836814924,15.986847364348366,10.969567527556247,False,False,False
Zahya,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,5.860216260498028,16.1811643424253,10.320948080395024,False,False,False
Latin City,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.298317366548036,16.17608150015697,10.877764133608936,False,False,False
Jade Park,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,5.793013608384144,16.27748970310857,10.48447609581583,False,False,False
Zahya,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,5.703782474656201,16.096565532407958,10.392783056729993,False,False,False
Beachfront Tower - B1,0,0,0,0,1,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.986452005284438,17.999177713146427,12.01272570798393,False,False,True
Alamain (Latin District),1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,5.477383630621318,15.56679519462661,10.089411562696023,False,False,False
Latin City,0,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.402677381872279,15.952041066628237,10.54936368598382,False,False,False
Central,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,5.377682921928777,17.527544857544697,12.149861935712169,True,False,True
Alamain (Latin District),1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,5.464763574183701,15.837852507603538,10.373088932140323,False,False,False
Mazarine Apartment,1,1,0,1,1,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,5.584623492819887,16.66401811176174,11.079394618310989,False,False,False
PODIA,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3.881563797943437,16.479190811330543,12.597627013376652,True,True,False
Alamain (Latin District),1,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4.266475481513779,15.219153557418778,10.9526780751163,False,False,False
Latin City,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.332718793265369,16.24384685626388,10.911128063077877,False,False,False
Latin City,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4.90527477843843,15.95038680653221,11.045112027502483,False,False,False
Alamain (Latin District),1,1,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,5.477383630621318,15.614080119120878,10.13669648947059,False,False,False
Alamain (Latin District),1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4.202899968776446,14.28738743159169,10.084487461338014,False,False,True
Alamain (Latin District),1,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4.531092982591776,15.663020042296822,11.13192705954647,False,False,False
New Garden City,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5.147494476813453,15.76242020735267,10.614925730710477,False,False,False
Alamain (Latin District),1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4.531092982591776,15.765697263786848,11.234604281037749,False,False,False
Mazarine Apartment,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.529429087511423,16.43727639046947,10.907847302899908,False,False,False
New Garden City,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5.902633333401366,16.52469345066242,10.622060116168957,False,False,False
Alamain (Latin District),1,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.352189832012527,15.83599795680044,10.483808123727847,False,False,False
Latin City,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4.90527477843843,15.889311219754024,10.98403644087562,False,False,False
Alamain (Latin District),1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4.801476827348709,15.200554137182513,10.39907730970264,False,False,False
AlMaqsad Park,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5.0238805208462765,15.346554402970362,10.32267388264323,False,False,False
Mazarine Apartment,0,1,0,1,1,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,5.529429087511423,16.410690635270743,10.881261547371231,False,False,False
Latin City,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,5.332718793265369,16.035908979970372,10.703190185782194,False,False,False
Latin City,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,5.513428746164983,16.409944032279515,10.89651528563653,False,False,False
Jade Park,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,5.459585514144159,15.954281765720104,10.49469625281284,False,False,False
Mazarine Apartment,0,1,0,1,1,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,5.5093883366279774,16.373590219156856,10.864201883280176,False,False,False
Latin City,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.3230099791384085,16.247280109339144,10.924270130684084,False,False,False
Latin City,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,5.288267030694535,15.949676999333356,10.6614099691832,False,False,False
Alamain (Latin District),1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.345391773933965,16.18995108805875,10.844559314555122,False,False,False
Central,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,5.173434184401347,17.199460046216878,12.02602586207639,False,False,False
Latin City,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,5.407171771460119,15.800229247329224,10.393057476006524,False,False,False
Mazarine Apartment,0,1,0,1,1,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,5.525452939131784,16.376374659040785,10.850921719777697,False,False,False
Mazarine Apartment,1,1,0,1,1,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.442417710521793,16.398602039661004,10.956184329010794,False,False,False
Latin City,1,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.298317366548036,15.80475383172596,10.506436465177924,False,False,False
Zahya,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,6.222576268071369,16.272274901805993,10.049698632706084,False,False,False
Central,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,5.173434184401347,17.323587301253525,12.15015311660236,True,False,False
Mazarine Apartment,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.529429087511423,16.222815961728724,10.69338687504583,False,False,False
Jade Park,1,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,5.765191102784844,16.078106642741957,10.312915541383006,False,False,False
Central,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,5.443023587547295,17.641627030383294,12.19860344285627,True,False,True
Latin City,0,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.332718793265369,16.24384685626388,10.911128063077877,False,False,False
Mazarine Apartment,0,1,0,1,1,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,5.452496617395711,16.59860638672195,11.14610976983524,False,False,False
AlMaqsad Park,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5.056245805348308,15.426946473061047,10.370700666914336,False,False,False
Alamain (Latin District),1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4.531092982591776,15.24821129189832,10.717118310117046,False,False,False
Central,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,5.21134235253363,17.402910843128357,12.19156849047569,True,False,False
Alamain (Latin District),1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,5.453439003415337,15.937173115078073,10.483734112156444,False,False,False
Downtown Extension,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,5.525452939131784,15.848777262523496,10.323324321807736,False,False,False
Zahya,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,6.016157159698354,16.177495994239766,10.16133883341062,False,False,False
Zahya,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,6.008813185442595,16.314320112921266,10.305506927585508,False,False,False
Mazarine Apartment,1,1,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.529429087511423,16.6929096445564,11.163480556932416,False,False,False
